no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
775,AP023,Misoa,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP023#AndraFarm,Olahan,AP023,-,Serealia,Misoa,1.3,10.0,8.7,,345.0,120.0,44.0,52.0,78.0,,2.2,3064.0,0.2,8.5,,0.02,,0.5,0.08,,,,,
776,GP074,"Model, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP074#AndraFarm,Olahan,GP074,-,Ikan dsb,"Model, cooking",1.3,83.9,0.8,,79.0,33.0,34.0,8.0,8.6,,4.0,147.0,,2.2,,0.02,0.5,,0.1,0.16,,,,
777,CP050,Moon tahu,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP050#AndraFarm,Olahan,CP050,-,Kacang,Moon tofu,0.8,79.9,2.5,,128.0,92.0,,205.0,1.3,5300.0,10.0,393.0,,8.0,131.0,,,0.2,,0.46,,,,
778,DR129,Mostarda metan - sawi hijau,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR129#AndraFarm,Tunggal,DR129,-,Sayur,Mostarda methane - mustard greens,1.1,91.4,3.1,1575.0,33.0,30.0,100.0,60.0,4.7,,0.5,20.0,0.1,2.3,,0.1,0.4,1.8,0.1,0.2,12.0,Brassica Juncea (L.) Cernjaew,Brassica,Cruciferae / Brassicaceae
779,GP075,"Mujahir acar kuning, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP075#AndraFarm,Olahan,GP075,-,Ikan dsb,"Yellow pickled mujahir, cooking",4.6,43.1,5.3,,330.0,357.0,,154.0,12.1,4130.0,23.4,,,17.8,24.0,,,1.1,,0.15,,,,
780,FP056,"Naan maran sapi, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP056#AndraFarm,Olahan,FP056,-,Daging,"Naan maran cow, cooking",7.9,14.8,11.8,,478.0,390.0,320.0,30.0,5.1,,33.9,220.0,0.2,38.3,33.0,,3.9,,0.6,,,,,
781,ER069,"Nanas palembang, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER069#AndraFarm,Tunggal,ER069,-,Buah,"Palembang pineapple, fresh",0.3,85.5,0.6,17.0,58.0,15.0,117.0,29.0,13.3,,0.2,7.0,0.2,0.7,,0.03,0.1,1.6,0.03,0.26,11.0,Ananas comosus (L.) Merr.,Ananas,Bromeliaceae
782,ER070,"Nanas, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER070#AndraFarm,Tunggal,ER070,-,Buah,"Pineapple, fresh",0.3,88.9,0.9,17.0,40.0,14.0,111.0,22.0,9.9,90.0,0.3,18.0,0.2,0.6,,0.04,0.1,0.6,0.03,0.02,22.0,Ananas comosus (L.) Merr.,Ananas,Bromeliaceae
783,ER071,"Nangka masak pohon, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER071#AndraFarm,Tunggal,ER071,-,Buah,"Jackfruit cooks trees, fresh",2.7,70.0,0.9,149.0,106.0,19.0,407.0,20.0,27.6,330.0,0.3,2.0,1.0,1.2,,0.1,1.4,3.7,246.58,0.07,7.0,Artocarpus heterophyluss lamk,Artocarpus,Moraceae
784,DR130,"Nangka muda, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR130#AndraFarm,Tunggal,DR130,-,Sayur,"Jackfruit, young, fresh",0.9,85.4,0.5,21.0,57.0,29.0,246.5,45.0,11.3,25.0,0.4,1.0,0.7,2.0,,0.06,0.1,8.3,0.04,0.07,9.0,Artocarpus heterophyllus Lamk,Artocarpus,Moraceae
