no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
222,DR038,"Daun kelor, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR038#AndraFarm,Tunggal,DR038,-,Sayur,"Moringa leaves (Drumstick tree, leaf), fresh",3.5,75.5,6.0,3266.0,92.0,76.0,298.0,1077.0,14.3,,1.6,61.0,4.2,5.1,,0.1,0.6,8.2,0.1,0.3,22.0,Moringa oleifera L.,Moringa,Moringaceae
223,DR039,"Daun kemangi, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR039#AndraFarm,Tunggal,DR039,-,Sayur,"Kemang, leaf, fresh",1.7,85.0,1.0,1282.0,43.0,106.0,457.1,35.0,7.5,1017.0,0.3,10.0,1.2,5.5,,0.1,,8.4,,0.06,30.0,Mangifera kemanga Blume,Mangifera,Anacardiaceae
224,DR040,"Daun kenikir, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR040#AndraFarm,Tunggal,DR040,-,Sayur,"Kenikir leaves, fresh",1.7,87.6,2.7,30000.0,45.0,65.0,431.0,328.0,6.6,12.0,0.5,431.0,4.5,3.7,,0.3,0.6,5.8,0.1,0.5,0.0,Cosmos caudatus,Cosmos,Compositae
225,DR041,"Daun kesum, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR041#AndraFarm,Tunggal,DR041,-,Sayur,"Kesum leaves, fresh",0.8,84.8,2.6,4216.0,48.0,142.0,174.7,125.0,9.1,8715.0,0.8,11.0,1.6,4.5,,0.1,1.2,1.6,0.4,0.01,4.0,Allium sativum L. (perlu sampel),Allium,Amaryllidaceae
226,DR042,"Daun kol sawi, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR042#AndraFarm,Tunggal,DR042,-,Sayur,"Indian mustard, fresh",0.7,93.1,3.2,1806.0,22.0,92.0,386.2,200.0,3.6,2177.0,0.5,19.0,0.6,2.1,,0.2,0.2,0.9,0.1,0.03,3.0,Brassica juncea (L.) Czernjaew,Brassica,Cruciferae
227,DR043,"Daun koro, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR043#AndraFarm,Tunggal,DR043,-,Sayur,"Koro leaves, fresh",2.0,91.0,6.2,2386.0,23.0,81.0,68.4,134.0,3.7,5240.0,0.3,4.0,1.3,3.0,,0.2,0.5,,0.2,0.28,29.0,,,
228,DR044,"Daun kubis, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR044#AndraFarm,Tunggal,DR044,-,Sayur,"Cabbage leaves, fresh",2.2,86.2,3.4,3612.0,51.0,50.0,100.0,100.0,8.0,,1.1,50.0,0.2,2.5,,0.1,0.6,3.4,0.9,0.4,16.0,Brassica oleracea L.cv. groups White Headed Cabbage,Brassica,Cruciferae
229,DR045,"Daun kumak, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR045#AndraFarm,Tunggal,DR045,-,Sayur,"Hyacinthbean, leaf, fresh",0.9,95.2,2.7,1274.0,14.0,59.0,36.5,90.0,2.3,2961.0,0.3,2.0,0.5,1.3,,,0.3,0.9,0.1,0.01,3.0,Lablab purpureus,Lablab,Fabaceae
230,DR046,"Daun labu siam, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR046#AndraFarm,Tunggal,DR046,-,Sayur,"Chayote, leaf, fresh",1.2,89.7,2.5,4773.0,34.0,70.0,630.7,58.0,4.7,2025.0,0.4,16.0,1.7,4.0,,0.4,0.3,3.5,0.2,0.08,16.0,Sechium edule (Jacq.) Swartz,Sechium,Cucurbitaceae
231,DR047,"Daun labu waluh/kuning, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR047#AndraFarm,Tunggal,DR047,-,Sayur,"Pumkin, leaf, fresh",1.6,89.7,3.7,1258.0,34.0,99.0,630.7,138.0,4.5,2750.0,0.6,16.0,1.3,3.6,,0.2,0.3,2.9,0.2,0.14,36.0,Cucurbita moschata Duchesne,Cucurbita,Cucurbitaceae
232,DR048,"Daun lamtoro, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR048#AndraFarm,Tunggal,DR048,-,Sayur,"Leucaena (Lamtoro), leaf, fresh",1.5,74.0,3.9,6900.0,87.0,174.0,197.7,725.0,14.4,13040.0,1.8,10.0,2.3,8.3,,0.1,1.4,3.3,0.5,,32.0,Leucaena leucocephala (Lam.) de With,Leucaena,Leguminosae
233,DR049,"Daun leilem, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR049#AndraFarm,Tunggal,DR049,-,Sayur,"Leilem leaves, fresh",1.8,79.4,3.4,753.0,76.0,22.0,46.0,296.0,15.8,,0.2,6.0,2.5,2.8,,0.1,1.1,3.1,0.5,0.3,22.0,Clerodendrum minahassae Teijsm & Binnend.,Clerodendrum,Lamiaceae
234,DR050,"Daun leunca, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR050#AndraFarm,Tunggal,DR050,-,Sayur,"Glossy nightshade, leaf, fresh",1.7,85.0,6.1,,49.0,80.0,,210.0,8.1,1900.0,0.5,,,4.7,,,,,,0.14,40.0,Solanum americanum Miller,Solanum,Solanaceae
235,DR051,"Daun lobak, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR051#AndraFarm,Tunggal,DR051,-,Sayur,"Radish leaves, fresh",1.4,90.0,3.7,5039.0,30.0,33.0,747.4,140.0,5.8,1000.0,0.4,16.0,6.5,2.3,,1.1,0.2,3.2,0.2,0.07,109.0,Raphanus raphanistrum subsp. sativus (L.) Domin,Raphanus,Cruciferae
236,DR052,"Daun lompong talas, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR052#AndraFarm,Tunggal,DR052,-,Sayur,"Taro lompong leaves, fresh",1.6,87.2,1.0,2584.0,44.0,59.0,578.4,76.0,7.4,2000.0,0.8,3.0,1.4,3.0,,0.4,0.4,3.3,0.2,0.08,31.0,Colocasia esculenta Schott.,Colocasia,Araceae
237,DR053,"Daun mangkokan, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR053#AndraFarm,Tunggal,DR053,-,Sayur,"Mangkokan leaves, fresh",2.2,82.0,4.0,,57.0,49.0,,474.0,11.8,5450.0,0.3,,,3.7,,,,,,0.06,83.0,Polyscias scutellaria (Burm.f.) Fosberg,Nothopanax,Araliaceae
238,DR054,"Daun matel ambon, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR054#AndraFarm,Tunggal,DR054,-,Sayur,"Ambon matel leaves, fresh",3.0,77.1,10.2,,71.0,95.0,,93.0,11.5,49.0,1.6,,,6.8,,,,4.6,,0.08,26.0,,,
239,DR055,"Daun melinjo, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR055#AndraFarm,Tunggal,DR055,-,Sayur,"Spanish joint fir (Melinjo), leaf, fresh",1.6,70.8,4.2,823.0,104.0,82.0,604.8,219.0,21.3,10000.0,1.3,12.0,,5.0,,,0.6,10.3,0.4,0.09,182.0,Gnetum gnemon L.,Gnetum,Gnetaceae
240,DP007,"Daun mengkudu, kukus",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP007#AndraFarm,Olahan,DP007,-,Sayur,"Noni leaf, steamed",1.6,81.6,6.0,2.0,63.0,43.0,,300.0,11.5,4900.0,1.5,,5.2,3.8,,0.1,,2.4,,0.08,11.0,,,
241,DR056,"Daun mengkudu, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR056#AndraFarm,Tunggal,DR056,-,Sayur,"Noni leaf, fresh",2.0,80.9,6.9,2.0,65.0,40.0,,296.0,11.4,4958.0,1.7,,5.7,4.0,,0.1,,3.9,,0.01,35.0,Morinda citrifolia L.,Morinda,Rubiaceae
242,DR057,"Daun ndusuk, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR057#AndraFarm,Tunggal,DR057,-,Sayur,"Ndusuk leaves, fresh",3.0,56.0,1.8,14457.0,166.0,20.0,310.0,40.0,38.8,,0.5,40.0,0.1,1.7,,0.1,0.7,10.7,0.2,0.4,30.0,,,
243,DR058,"Daun oyong, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR058#AndraFarm,Tunggal,DR058,-,Sayur,"Angled loofah, leaf, fresh",0.6,93.0,2.0,855.0,22.0,44.0,295.5,21.0,5.3,1000.0,0.1,40.0,0.8,1.0,,0.1,0.2,2.0,0.1,0.08,150.0,Luffa acutangula (L.) Roxburgh,Luffa,Cucurbitaceae
244,DR060,"Daun pakis longgiho, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR060#AndraFarm,Tunggal,DR060,-,Sayur,"Fern, longiho, leaf, fresh",1.6,89.5,0.7,168.0,54.0,80.0,500.0,40.0,3.1,,3.6,70.0,0.2,2.2,,0.3,0.1,2.1,0.4,0.4,8.0,,,
245,DR061,"Daun pakis wambateu, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR061#AndraFarm,Tunggal,DR061,-,Sayur,"Fern, wambateu, leaf fresh",1.3,86.9,0.3,191.0,53.0,100.0,200.0,30.0,7.2,,1.2,20.0,0.3,3.4,,0.2,0.3,4.8,0.2,0.7,6.0,,,
246,DR059,"Daun pakis, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR059#AndraFarm,Tunggal,DR059,-,Sayur,"Fern, leaf, fresh",1.4,86.8,2.3,1625.0,39.0,159.0,201.9,136.0,6.9,3292.0,0.4,20.0,0.5,4.5,,0.1,0.3,2.0,0.2,0.02,3.0,,,
247,DR062,"Daun paku, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR062#AndraFarm,Tunggal,DR062,-,Sayur,"Fern, paku, leaf, fresh",1.2,88.8,1.3,18.0,29.0,88.0,434.0,13.0,6.5,,0.1,19.0,11.7,3.4,,0.1,0.7,4.3,0.5,0.2,10.0,Diplazium,Diplazium,Athyriaceae
248,DR063,"Daun pangi,segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR063#AndraFarm,Tunggal,DR063,-,Sayur,"Kepayang (Pangi), leaf, fresh",1.5,76.1,1.8,55.0,104.0,22.0,266.0,256.0,17.9,,0.6,4.0,0.1,3.9,,0.1,0.5,8.3,1.7,0.4,23.0,Pangium edule Reinw.,Pangium,Achariaceae
249,DR064,"Daun pare, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR064#AndraFarm,Tunggal,DR064,-,Sayur,"Bitter guard, leaf, fresh",1.6,87.3,3.3,1800.0,49.0,70.0,498.0,217.0,8.4,,1.0,7.0,0.6,2.7,,0.2,1.2,3.0,0.4,0.4,7.0,Momordica charantia L.,Momordica,Cucurbitaceae
250,DR065,"Daun pepaya, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR065#AndraFarm,Tunggal,DR065,-,Sayur,"Papaya, leaf, fresh",2.7,75.4,0.8,5409.0,87.0,63.0,926.6,353.0,11.9,18250.0,2.0,4.0,1.9,8.0,,0.5,1.5,1.5,0.2,0.15,140.0,Carica papaya L.,Carica,Caricaceae
251,DR066,"Daun pohpohan, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR066#AndraFarm,Tunggal,DR066,-,Sayur,"Pilea, leaf, fresh",2.4,87.4,5.9,,37.0,80.0,,744.0,6.9,7378.0,0.8,,,2.5,,,,2.6,,0.03,5.0,Pilea melastomoides (Poir.) Wedd.,Pilea,Urticaceae
252,NR017,"Daun salam, bubuk",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR017#AndraFarm,Tunggal,NR017,-,Bumbu,"Cajuput Tree, leaf, powdered",12.8,13.1,44.1,5400.0,301.0,250.0,619.0,86.0,49.0,,10.9,180.0,5.0,14.2,,0.32,0.7,9.4,1.31,0.1,,Syzygium gratum,Syzygium,Myrtaceae
253,DR067,"Daun selasih, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR067#AndraFarm,Tunggal,DR067,-,Sayur,"Hoary basil, leaf, fresh",1.9,83.1,13.9,4112.0,62.0,16.0,259.0,122.0,10.5,,0.5,3.0,0.2,4.0,,0.1,0.7,5.3,0.4,0.5,24.0,Ocimum americanum L.,Ocimum,Labiatae / Lamiaceae
254,DR068,"Daun semanggi, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR068#AndraFarm,Tunggal,DR068,-,Sayur,"Cloverleaf, fresh",1.9,84.7,7.0,64.0,45.0,90.0,520.7,98.0,8.5,3365.0,0.5,64.0,0.7,4.4,,0.5,0.3,1.9,0.5,0.01,6.0,Oxalis corniculata L,,
255,DR069,"Daun simpur, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR069#AndraFarm,Tunggal,DR069,-,Sayur,"Leaf fresh, fresh",0.9,86.2,3.5,,53.0,194.0,,228.0,7.6,3346.0,2.5,,,3.2,,,,1.6,,0.02,5.0,,,
256,DR070,"Daun singkil, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR070#AndraFarm,Tunggal,DR070,-,Sayur,"Singkil leaves, fresh",0.9,80.9,2.1,,68.0,86.0,,178.0,15.2,6042.0,1.0,,,2.0,,,,3.3,,0.02,3.0,,,
257,DR072,"Daun singkong ambon, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR072#AndraFarm,Tunggal,DR072,-,Sayur,"Casava, ambon, leaf, fresh",2.9,58.0,3.9,8627.0,144.0,54.0,62.2,165.0,25.2,13000.0,1.2,44.0,4.2,12.7,,1.0,5.4,10.2,0.2,0.21,220.0,Manihot esculenta Crantz,Manihot,Euphorbiaceae
258,DR073,"Daun singkong ampenan, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR073#AndraFarm,Tunggal,DR073,-,Sayur,"Casava, ampenan, leaf, fresh",1.2,84.4,2.7,7917.0,50.0,123.0,570.0,352.0,7.1,,1.1,49.0,1.6,6.2,,0.1,1.3,2.4,0.2,0.5,103.0,Manihot esculenta Crantz,Manihot,Euphorbiaceae
259,DR074,"Daun singkong kopang, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR074#AndraFarm,Tunggal,DR074,-,Sayur,"Casava, kopang, leaf, fresh",1.2,81.1,1.7,3882.0,74.0,115.0,382.0,142.0,10.7,,0.7,32.0,1.9,6.3,,0.5,1.5,4.6,0.2,0.5,211.0,Manihot esculenta Crantz,Manihot,Euphorbiaceae
260,DP008,"Daun singkong, rebus",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP008#AndraFarm,Olahan,DP008,-,Sayur,"Cassava leaves, boil",0.4,90.5,2.6,3897.0,31.0,50.0,14.0,160.0,4.8,4150.0,0.6,13.0,1.7,3.7,,0.1,2.0,1.6,0.1,0.02,34.0,,,
261,DR071,"Daun singkong, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR071#AndraFarm,Tunggal,DR071,-,Sayur,"Casava, leaf, fresh",1.2,84.4,1.3,3204.0,50.0,99.0,23.1,166.0,7.1,7052.0,1.1,17.0,1.8,6.2,,0.1,2.0,2.4,0.1,0.04,103.0,Manihot esculenta Crantz,Manihot,Euphorbiaceae
262,DR075,"Daun sintrong, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR075#AndraFarm,Tunggal,DR075,-,Sayur,"Sintrong leaves, fresh",1.9,88.5,9.3,10178.0,36.0,95.0,444.4,398.0,6.1,8868.0,0.9,64.0,0.9,2.6,,0.2,0.4,1.7,0.1,0.03,3.0,Erechtites valerianaefolia (Wolf) DC.,Erechtites,"Compositae, Asteraceae"
263,DP009,"Daun talas, rebus",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP009#AndraFarm,Olahan,DP009,-,Sayur,"Taro leaves, boil",1.0,91.6,1.4,4641.0,27.0,41.0,519.4,119.0,5.9,2682.0,0.2,3.0,1.9,1.3,,0.6,0.5,1.6,0.5,,7.0,,,
264,DR076,"Daun talas, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR076#AndraFarm,Tunggal,DR076,-,Sayur,"Taro leaves, fresh",2.0,81.1,2.4,3816.0,59.0,50.0,854.1,236.0,13.5,5740.0,0.4,4.0,2.0,3.0,,0.6,0.5,3.0,0.4,0.07,24.0,Colocasia esculenta (L.) Schott,Colocasia,Araceae
265,DR077,"Daun tespong, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR077#AndraFarm,Tunggal,DR077,-,Sayur,"Water dropwort, leaf, fresh",1.9,81.0,2.5,171.0,70.0,65.0,,155.0,13.9,2500.0,0.3,72.0,1.4,2.9,,0.7,0.9,2.3,0.15,0.05,21.0,Oenanthe javanica (Blume) DC.,Oenanthe,Umpelliferae / Apiaceae
266,DR078,"Daun ubi kuning, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR078#AndraFarm,Tunggal,DR078,-,Sayur,"Sweet potato, yeallowish, leaf, fresh",1.4,83.5,0.6,3564.0,62.0,40.0,,170.0,11.1,,0.3,10.0,1.2,3.7,,0.3,0.5,6.4,0.2,0.3,4.0,Ipomoea batatas (L.) Lam.,Ipomoea,Convolvulaceae
267,DP010,"Daun ubi merah, kukus",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP010#AndraFarm,Olahan,DP010,-,Sayur,"Red sweet potato leaves, steamed",1.1,82.5,4.3,5277.0,56.0,52.0,472.8,78.0,13.0,5397.0,0.3,28.0,1.1,3.1,,0.2,0.4,1.5,0.1,,14.0,,,
268,DR079,"Daun ubi merah, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR079#AndraFarm,Tunggal,DR079,-,Sayur,"Sweet potato, redish, leaf, freah",1.5,84.4,6.4,5453.0,48.0,81.0,517.3,80.0,10.8,4697.0,0.3,33.0,1.2,3.0,,0.2,0.4,1.4,,0.1,27.0,Ipomoea batatas (L.) Lam.,Ipomoea,Convolvulaceae
269,DR080,"Daun ubi putih, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR080#AndraFarm,Tunggal,DR080,-,Sayur,"Sweet potato, whitish, leaf, fresh",1.3,87.5,0.8,103.0,46.0,50.0,,120.0,8.2,,0.2,10.0,0.9,2.8,,0.3,0.5,4.8,0.2,0.3,8.0,Ipomoea batatas (L.) Lam.,Ipomoea,Convolvulaceae
270,DR081,"Daun ubi tinta, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR081#AndraFarm,Tunggal,DR081,-,Sayur,"Sweet potato, purpleish, leaf, fresh",1.2,85.1,0.6,516.0,55.0,40.0,,120.0,11.9,,0.1,10.0,,1.7,,,0.5,7.6,0.2,0.2,7.0,,,
271,GP059,"Dendeng belut, goreng",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP059#AndraFarm,Olahan,GP059,-,Ikan dsb,"Eel jerky, fried",14.0,8.2,15.4,,382.0,654.0,,1069.0,8.0,1480.0,14.1,,,55.7,28.0,,,,,0.48,,,,
272,GP060,"Dendeng mujahir, goreng",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP060#AndraFarm,Olahan,GP060,-,Ikan dsb,"Fillet jerky, fried",13.1,6.5,7.4,,598.0,1447.0,,1957.0,9.2,25.0,26.9,,,74.3,18.0,,,,,0.19,,,,
273,FP045,"Djibokum, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP045#AndraFarm,Olahan,FP045,-,Daging,"Djibokum, cooking",3.4,43.4,2.8,,248.0,110.0,,116.0,40.9,1920.0,2.3,401.0,,10.0,52.0,,,0.1,,0.75,,,,
274,AP043,Dodol bali,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP043#AndraFarm,Olahan,AP043,-,Serealia,Bali Dodol,1.8,26.5,2.5,,298.0,76.0,,70.0,65.9,496.0,2.1,,2.5,3.7,,,,0.4,,0.28,,,,
275,CP023,Dodol banjarmasin,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP023#AndraFarm,Olahan,CP023,-,Kacang,Banjarmasin dodol,1.5,17.3,3.3,,368.0,180.0,96.0,51.0,70.0,,8.6,48.0,2.3,2.6,,0.07,2.6,0.5,0.4,0.04,,,,
276,AP044,Dodol galamai,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP044#AndraFarm,Olahan,AP044,-,Serealia,Galamai Dodol,1.2,16.5,2.6,,348.0,144.0,76.0,41.0,76.1,,3.8,38.0,1.8,0.4,,0.06,2.1,0.5,0.3,0.03,,,,
277,AP045,Dodol kedondong,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP045#AndraFarm,Olahan,AP045,-,Serealia,Kedondong dodol,0.4,26.4,2.3,,331.0,55.0,,90.0,63.8,408.0,7.6,,0.8,1.9,,,,1.0,,0.11,5.0,,,
278,AP046,Dodol manado,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP046#AndraFarm,Olahan,AP046,-,Serealia,Manado Dodol,1.2,26.1,2.4,,373.0,142.0,72.0,41.0,51.9,,16.5,35.0,2.1,4.3,,0.06,2.1,0.4,0.3,0.04,,,,
279,EP002,Dodol nanas,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=EP002#AndraFarm,Olahan,EP002,-,Buah,Pineapple Dodol,0.9,16.1,,,338.0,,,,80.3,1240.0,1.2,,,1.5,,,,,,0.55,,,,
280,FR016,"Domba, daging, gemuk, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR016#AndraFarm,Tunggal,FR016,-,Daging,"Lamb, meat, high fat, fresh",0.8,55.8,2.4,,317.0,157.0,242.1,9.0,,,27.7,64.0,6.5,15.7,,0.23,3.7,,0.11,0.14,,Ovis Aries,Ovis,Bovidae
281,FR017,"Domba, daging, kurus, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR017#AndraFarm,Tunggal,FR017,-,Daging,"Lamb, meat, low fat, fresh",1.8,66.3,2.6,,202.0,191.0,355.0,10.0,,,14.8,90.0,5.7,17.1,,0.26,2.8,,0.08,0.15,,Ovis Aries,Ovis,Bovidae
282,FR018,"Domba, ginjal, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR018#AndraFarm,Tunggal,FR018,-,Daging,"Kidney, lamb, fresh",1.3,77.8,9.2,515.0,100.0,237.0,296.1,13.0,1.0,,3.3,167.0,8.0,16.6,348.0,2.35,2.4,,0.48,0.51,13.0,,,
283,ER022,"Duku, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER022#AndraFarm,Tunggal,ER022,-,Buah,"Duku, fresh",0.7,82.0,0.9,,63.0,9.0,147.5,18.0,16.1,,0.2,2.0,1.5,1.0,,0.15,0.2,4.3,0.09,0.05,9.0,,,
284,ER023,"Durian, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER023#AndraFarm,Tunggal,ER023,-,Buah,"Durian, fresh",8.0,65.0,1.3,146.0,134.0,44.0,601.0,7.0,28.0,175.0,3.0,1.0,136.5,2.5,,0.19,0.3,3.5,0.12,0.1,53.0,Durio zibethinus Murray,Durio,Malvaceae
285,ER024,"Duwet, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER024#AndraFarm,Tunggal,ER024,-,Buah,"Jambolan, fresh",0.5,80.2,1.3,329.0,80.0,138.0,92.7,33.0,18.2,,0.6,16.0,2.5,0.5,,0.01,0.3,0.9,191.28,0.02,130.0,Syzygium cumini (L.) Skeels,Syzygium,Myrtaceae
286,DR082,"Eceng, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR082#AndraFarm,Tunggal,DR082,-,Sayur,"Hyacinth, fresh",2.0,93.0,3.7,7.0,19.0,45.0,634.1,80.0,3.8,1000.0,0.2,45.0,0.7,1.0,,0.1,,1.8,,0.08,50.0,Limnocharis flava (L.) Buchenau,Limnocharis,Alismataceae
287,ER025,"Embacang, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER025#AndraFarm,Tunggal,ER025,-,Buah,"Kuwini, fresh",0.5,72.5,0.5,2533.0,98.0,15.0,250.9,21.0,25.4,1218.0,0.2,3.0,0.7,1.4,,0.09,0.1,1.9,0.13,0.03,56.0,Mangifera odorata Griff.,Mangifera,Anacardiacea
288,FP046,"Empal (daging) Goreng, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP046#AndraFarm,Olahan,FP046,-,Daging,"Empal (meat) Fried, cooking",2.0,43.9,6.4,,248.0,235.0,,131.0,10.1,620.0,6.9,848.0,,36.2,112.0,,,,,0.55,,,,
289,CP024,Emping (kerupuk melinjo),https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP024#AndraFarm,Olahan,CP024,-,Kacang,Emping (melinjo crackers),28.0,13.0,5.0,,345.0,400.0,,100.0,71.5,,1.5,,,12.0,,,,,,0.2,,,,
290,AP047,Emping beras,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP047#AndraFarm,Olahan,AP047,-,Serealia,Rice chips,1.9,13.6,0.3,,403.0,240.0,113.0,11.0,85.3,,2.2,1.0,,10.6,,0.16,2.4,0.2,0.3,,,,,
291,CP025,Emping komak,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP025#AndraFarm,Olahan,CP025,-,Kacang,Coming chips,2.7,14.2,4.3,,355.0,304.0,1233.0,87.0,60.7,,4.6,24.0,0.6,17.8,,,2.3,,1.0,,,,,
292,ER026,"Encung asam, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER026#AndraFarm,Tunggal,ER026,-,Buah,"Tamarillo, fresh",1.5,73.0,3.2,,122.0,69.0,,63.0,17.5,2357.0,4.5,,,3.5,,,,9.3,,0.02,,Solanum involucatrum,Solanum,Solonaceae
293,CP026,Enting-enting gepuk hello kity,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP026#AndraFarm,Olahan,CP026,-,Kacang,Hello kity enting-enting beaten,1.0,2.4,1.6,,538.0,248.0,,81.0,52.6,202.0,30.3,,,13.6,,,,0.2,,1.0,,,,
294,CP027,Enting-enting gepuk kacang tanah,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP027#AndraFarm,Olahan,CP027,-,Kacang,Peanut enting-enting beaten,1.4,4.2,1.4,,524.0,248.0,,76.0,52.0,272.0,29.2,,,13.3,,,,0.2,,0.62,,,,
